hh_type,hh_id
Couple with no children,HH1206301
Couple with no children,NA
,
Couple with dependent children,HH1206401
Couple with dependent children,HH1206401
Couple with dependent children,HH1206401
Couple with dependent children,HH1206401
Couple with dependent children,NA
,
Couple with dependent children,HH1206501
Couple with dependent children,NA
,
Couple with dependent children,HH1206501
Live alone,HH1206601
Couple with independent children only,HH1206701
Couple with independent children only,HH1206701
Couple with independent children only,HH1206701
Couple with no children,HH1206801
Couple with no children,HH1206801
Couple with no children,HH1206801
Couple with dependent children,HH1206901
Couple with dependent children,HH1206901
Couple with dependent children,HH1206901
Couple with no children,HH1207001
Couple with no children,HH1207001
Couple with dependent children,HH1207101
Couple with dependent children,HH1207101
Couple with dependent children,HH1207101
Couple with dependent children,HH1207101
Couple with no children,HH1207201
Couple with no children,2
,
Live alone,HH1207301
Live alone,HH1207401
Lone parent with dependent children,HH1207501
Lone parent with dependent children,HH1207501
Couple with independent children only,HH1207601
Couple with independent children only,HH1207601
Couple with dependent children,HH1207701
Couple with dependent children,HH1207701
Couple with dependent children,HH1207701
Live alone,HH1207801
Live alone,HH1207901
Lone parent with dependent children,HH1208001
Lone parent with dependent children,NA
,
Lone parent with independent children only,HH1208101
Lone parent with independent children only,HH1208101
Lone parent with dependent children,HH1208201
Lone parent with dependent children,HH1208201
Couple with dependent children,HH1208301
Couple with dependent children,HH1208301
Couple with dependent children,HH1208301
Couple with dependent children,HH1208301
Couple with independent children only,HH1208401
Couple with independent children only,HH1208401
Couple with independent children only,NA
,
Couple with independent children only,HH1208401
Couple with independent children only,HH1208401
Live alone,HH1208501
Couple with no children,HH1208601
Couple with no children,HH1208601
Couple with independent children only,HH1208701
Couple with independent children only,HH1208701
Couple with independent children only,HH1208701
Couple with independent children only,HH1208701
Couple with independent children only,HH1208701
Live alone,HH1208801
Couple with no children,HH1208901
Couple with no children,HH1208901
Couple with no children,HH1209001
Couple with no children,HH1209001
Couple with independent children only,HH1209101
Couple with independent children only,NA
,
Couple with independent children only,HH1209101
Couple with independent children only,HH1209101
Couple with independent children only,HH1209101
Live alone,HH1209201
Other,HH1209301
Other,HH1209301
Couple with dependent children,HH1209401
Couple with dependent children,HH1209401
Couple with dependent children,HH1209401
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with independent children only,HH1209501
Couple with independent children only,HH1209501
Live alone,HH1209601
Couple with no children,HH1209701
Couple with no children,HH1209701
Couple with independent children only,HH1209801
Couple with independent children only,HH1209801
Couple with no children,HH1209901
Couple with no children,HH1209901
Couple with no children,HH1209901
Couple with dependent children,HH1210001
Couple with dependent children,HH1210001
Couple with dependent children,NA
,
Couple with dependent children,HH1210001
Couple with no children,HH1210101
Couple with no children,HH1210101
Couple with dependent children,HH1210201
Couple with dependent children,HH1210201
Couple with dependent children,HH1210201
Couple with dependent children,HH1210201
Couple with dependent children,HH1210201
Couple with dependent children,HH1210201
Couple with no children,HH1210301
Couple with no children,HH1210301
Live alone,HH1210401
Couple with independent children only,HH1210501
Couple with independent children only,HH1210501
Couple with independent children only,HH1210501
Couple with independent children only,NA
,
Couple with dependent children,HH1210601
Couple with dependent children,HH1210601
Couple with dependent children,HH1210601
Couple with dependent children,NA
,
Couple with dependent children,HH1210601
Couple with no children,HH1210701
Couple with no children,HH1210701
Live alone,HH1210801
Couple with independent children only,HH1210901
Couple with independent children only,HH1210901
Live alone,HH1211001
Couple with independent children only,HH1211101
Couple with independent children only,HH1211101
Couple with independent children only,HH1211101
Couple with dependent children,HH1211201
Couple with dependent children,HH1211201
Couple with dependent children,NA
,
Couple with dependent children,HH1211301
Couple with dependent children,HH1211301
Couple with dependent children,HH1211301
Couple with dependent children,NA
,
Live alone,HH1211401
Couple with no children,HH1211501
Couple with no children,NA
,
Couple with no children,HH1211601
Couple with no children,NA
,
Couple with no children,HH1211601
Live alone,HH1211701
Live alone,HH1211801
Couple with dependent children,HH1211901
Couple with dependent children,NA
,
Couple with dependent children,HH1211901
Couple with dependent children,HH1211901
Couple with dependent children,HH1211901
Couple with dependent children,HH1212001
Couple with dependent children,HH1212001
Couple with dependent children,HH1212001
Couple with dependent children,HH1212001
Couple with no children,HH1212101
Couple with no children,NA
,
Couple with dependent children,HH1212201
Couple with dependent children,HH1212201
Couple with dependent children,HH1212201
Couple with dependent children,HH1212201
Couple with independent children only,HH1212301
Couple with independent children only,HH1212301
Couple with dependent children,HH1212401
Couple with dependent children,NA
,
Couple with dependent children,HH1212401
Couple with independent children only,HH1212501
Couple with independent children only,HH1212501
Couple with no children,HH1212601
Couple with no children,HH1212601
Couple with independent children only,HH1212701
Couple with independent children only,HH1212701
Couple with no children,HH1212801
Couple with no children,HH1212801
Couple with no children,HH1212901
Couple with no children,NA
,
Live alone,HH1213001
Couple with dependent children,HH1213101
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with dependent children,HH1213101
Live alone,HH1213201
Couple with dependent children,HH1213301
Couple with dependent children,HH1213301
Couple with dependent children,HH1213301
Couple with dependent children,HH1213301
Live alone,HH1213401
Lone parent with independent children only,HH1213501
Lone parent with independent children only,HH1213501
Couple with independent children only,HH1213601
Couple with independent children only,HH1213601
Couple with independent children only,HH1213601
Couple with independent children only,HH1213601
Couple with independent children only,HH1213701
Couple with independent children only,HH1213701
Couple with independent children only,HH1213701
Couple with independent children only,HH1213701
Couple with no children,HH1213801
Couple with no children,NA
,
Couple with no children,HH1213901
Couple with no children,NA
,
Couple with no children,NA
,
Couple with dependent children,HH1214001
Couple with dependent children,HH1214001
Couple with dependent children,HH1214001
Couple with dependent children,HH1214001
Couple with independent children only,HH1214101
Couple with independent children only,HH1214101
Live alone,HH1214201
Lone parent with independent children only,HH1214301
Lone parent with independent children only,HH1214301
Couple with dependent children,HH1214401
Couple with dependent children,HH1214401
Couple with dependent children,HH1214401
Live alone,HH1214501
Live alone,HH1214601
Couple with no children,HH1214701
Couple with no children,HH1214701
Live alone,HH1214801
Couple with dependent children,HH1214901
Couple with dependent children,HH1214901
Couple with dependent children,HH1214901
Couple with dependent children,HH1214901
Couple with independent children only,HH1215001
Couple with independent children only,HH1215001
Couple with dependent children,HH1215101
Couple with dependent children,HH1215101
Couple with dependent children,HH1215101
Couple with dependent children,HH1215101
Couple with dependent children,HH1215101
Households containing two or more families,HH1215201
Households containing two or more families,HH1215201
Households containing two or more families,HH1215201
Households containing two or more families,HH1215201
Households containing two or more families,HH1215201
Lone parent with independent children only,HH1215301
Lone parent with independent children only,HH1215301
Live alone,HH1215401
Couple with independent children only,HH1215501
Couple with independent children only,HH1215501
Couple with independent children only,HH1215501
Couple with independent children only,HH1215501
Couple with independent children only,HH1215601
Couple with independent children only,HH1215601
Couple with independent children only,HH1215601
Other,HH1215701
Other,HH1215701
Other,HH1215701
Other,NA
,
Other,NA
,
Other,HH1215701
Other,HH1215701
Other,HH1215701
Couple with no children,HH1215801
Couple with no children,NA
,
Couple with no children,HH1215801
Couple with dependent children,HH1215901
Couple with dependent children,HH1215901
Couple with dependent children,NA
,
Couple with dependent children,HH1215901
Couple with dependent children,HH1216001
Couple with dependent children,NA
,
Couple with dependent children,HH1216001
Couple with dependent children,HH1216001
Live alone,HH1216101
Couple with dependent children,HH1216201
Couple with dependent children,HH1216201
Couple with dependent children,HH1216201
Couple with dependent children,HH1216201
Couple with dependent children,HH1216201
Live alone,HH1216301
Couple with no children,HH1216401
Couple with no children,HH1216401
Couple with no children,HH1216501
Couple with no children,NA
,
Couple with dependent children,HH1216601
Couple with dependent children,NA
,
Couple with dependent children,HH1216601
Couple with no children,HH1216701
Couple with no children,HH1216701
Couple with independent children only,HH1216801
Couple with independent children only,HH1216801
Couple with independent children only,NA
,
Two or more non-family adults,HH1216901
Two or more non-family adults,HH1216901
Two or more non-family adults,HH1216901
Couple with independent children only,HH1217001
Couple with independent children only,HH1217001
Couple with independent children only,HH1217001
Couple with dependent children,HH1217101
Couple with dependent children,HH1217101
Couple with dependent children,HH1217101
Live alone,HH1217201
Couple with independent children only,HH1217301
Couple with independent children only,HH1217301
Couple with independent children only,HH1217301
Couple with no children,HH1217401
Couple with no children,HH1217401
Couple with independent children only,HH1217501
Couple with independent children only,NA
,
Couple with independent children only,HH1217601
Couple with independent children only,HH1217601
Couple with independent children only,HH1217701
Couple with independent children only,HH1217701
Couple with independent children only,HH1217801
Couple with independent children only,HH1217801
Couple with no children,HH1217901
Couple with no children,HH1217901
Couple with no children,HH1218001
Couple with no children,NA
,
Lone parent with dependent children,HH1218101
Lone parent with dependent children,HH1218101
Live alone,HH1218201
Couple with no children,HH1218301
Couple with no children,HH1218301
Couple with independent children only,HH1218401
Couple with independent children only,HH1218401
Couple with independent children only,HH1218401
Live alone,HH1218501
Lone parent with independent children only,HH1218601
Lone parent with independent children only,HH1218601
Couple with dependent children,HH1218701
Couple with dependent children,NA
,
Couple with dependent children,HH1218701
Couple with dependent children,HH1218701
Couple with no children,HH1218801
Couple with no children,HH1218801
Couple with no children,HH1218801
Couple with no children,HH1218901
Couple with no children,NA
,
Live alone,HH1219001
Couple with no children,HH1219101
Couple with no children,HH1219101
Couple with no children,HH1219201
Couple with no children,HH1219201
Couple with no children,HH1219301
Couple with no children,HH1219301
Couple with no children,HH1219301
Couple with dependent children,HH1219401
Couple with dependent children,HH1219401
Couple with dependent children,HH1219401
Couple with dependent children,HH1219401
Couple with dependent children,HH1219401
Couple with dependent children,HH1219401
Other,HH1219501
Other,HH1219501
Other,HH1219501
Couple with independent children only,HH1219601
Couple with independent children only,HH1219601
Live alone,HH1219701
Couple with independent children only,HH1219801
Couple with independent children only,HH1219801
Couple with dependent children,HH1219901
Couple with dependent children,HH1219901
Couple with dependent children,NA
,
Couple with dependent children,HH1219901
Lone parent with dependent children,HH1220001
Lone parent with dependent children,HH1220001
Other,HH1220101
Other,HH1220101
Other,HH1220101
Other,HH1220101
Other,HH1220101
Other,HH1220101
Couple with dependent children,HH1220201
Couple with dependent children,HH1220201
Couple with dependent children,HH1220201
Couple with dependent children,HH1220201
Couple with dependent children,HH1220201
Couple with independent children only,HH1220301
Couple with independent children only,HH1220301
Couple with no children,HH1220401
Couple with no children,HH1220401
Couple with dependent children,HH1220501
Couple with dependent children,HH1220501
Couple with dependent children,HH1220501
Couple with no children,HH1220601
Couple with no children,HH1220601
Couple with independent children only,HH1220701
Couple with independent children only,HH1220701
Live alone,HH1220801
Live alone,HH1220901
Live alone,HH1221001
Lone parent with dependent children,HH1221101
Lone parent with dependent children,NA
,
Lone parent with dependent children,HH1221101
Couple with independent children only,HH1221201
Couple with independent children only,HH1221201
Live alone,HH1221301
Live alone,HH1221401
Couple with independent children only,HH1221501
Couple with independent children only,HH1221501
Couple with no children,HH1221601
Couple with no children,HH1221601
Couple with independent children only,HH1221701
Couple with independent children only,NA
,
Couple with independent children only,NA
,
Couple with independent children only,NA
,
Couple with independent children only,HH1221801
Couple with independent children only,NA
,
Live alone,HH1221901
Couple with independent children only,HH1222001
Couple with independent children only,HH1222001
Couple with no children,HH1222101
Couple with no children,HH1222101
Couple with independent children only,HH1222201
Couple with independent children only,HH1222201
Couple with independent children only,HH1222301
Couple with independent children only,HH1222301
Couple with no children,HH1222401
Couple with no children,HH1222401
Couple with no children,HH1222401
Couple with dependent children,HH1222501
Couple with dependent children,HH1222501
Couple with dependent children,NA
,
Couple with dependent children,HH1222601
Couple with dependent children,HH1222601
Couple with dependent children,HH1222701
Couple with dependent children,HH1222701
Couple with dependent children,HH1222701
Couple with dependent children,NA
,
Couple with dependent children,HH1222701
Couple with no children,HH1222801
Couple with no children,HH1222801
Live alone,HH1222901
Couple with no children,HH1223001
Couple with no children,HH1223001
Couple with independent children only,HH1223101
Couple with independent children only,HH1223101
Couple with no children,HH1223201
Couple with no children,HH1223201
Live alone,HH1223301
Couple with no children,HH1223401
Couple with no children,HH1223401
Couple with independent children only,HH1223501
Couple with independent children only,NA
,
Couple with dependent children,HH1223601
Couple with dependent children,NA
,
Couple with dependent children,HH1223601
Couple with independent children only,HH1223701
Couple with independent children only,HH1223701
Couple with independent children only,HH1223701
Couple with no children,HH1223801
Couple with no children,HH1223801
Live alone,HH1223901
Live alone,HH1224001
Live alone,HH1224101
Live alone,HH1224201
Couple with dependent children,HH1224301
Couple with dependent children,HH1224301
Couple with dependent children,NA
,
Couple with dependent children,HH1224301
Couple with no children,HH1224401
Couple with no children,HH1224401
Couple with dependent children,HH1224501
Couple with dependent children,HH1224501
Couple with dependent children,HH1224501
Couple with dependent children,HH1224501
Couple with dependent children,HH1224501
Couple with dependent children,HH1224601
Couple with dependent children,HH1224601
Couple with dependent children,NA
,
Couple with dependent children,HH1224601
Couple with no children,HH1224701
Couple with no children,HH1224701
Couple with no children,HH1224701
Couple with dependent children,HH1224801
Couple with dependent children,NA
,
Couple with dependent children,HH1224801
Couple with dependent children,HH1224801
Couple with dependent children,HH1224801
Couple with dependent children,HH1224901
Couple with dependent children,NA
,
Couple with dependent children,HH1224901
Couple with independent children only,HH1225001
Couple with independent children only,HH1225001
Couple with independent children only,HH1225001
Live alone,HH1225101
Couple with dependent children,HH1225201
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with no children,HH1225301
Couple with no children,HH1225301
Couple with dependent children,HH1225401
Couple with dependent children,HH1225401
Couple with dependent children,HH1225401
Live alone,HH1225501
Live alone,HH1225601
Live alone,HH1225701
Live alone,HH1225801
Live alone,HH1225901
Couple with independent children only,HH1226001
Couple with independent children only,HH1226001
Couple with independent children only,HH1226001
Live alone,HH1226101
Couple with independent children only,HH1226201
Couple with independent children only,HH1226201
Live alone,HH1226301
Lone parent with dependent children,HH1226401
Lone parent with dependent children,HH1226401
Couple with independent children only,HH1226501
Couple with independent children only,HH1226501
Couple with no children,HH1226601
Couple with no children,HH1226601
Live alone,HH1226701
Couple with dependent children,HH1226801
Couple with dependent children,3-5
,
Couple with dependent children,NA
,
Couple with dependent children,HH1226901
Couple with dependent children,HH1226901
Couple with dependent children,HH1226901
Live alone,HH1227001
Couple with dependent children,HH1227101
Couple with dependent children,HH1227101
Couple with dependent children,HH1227101
Couple with dependent children,HH1227101
Couple with dependent children,HH1227201
Couple with dependent children,HH1227201
Couple with dependent children,HH1227201
Couple with dependent children,HH1227201
Lone parent with independent children only,HH1227301
Lone parent with independent children only,HH1227301
Live alone,HH1227401
Couple with independent children only,HH1227501
Couple with independent children only,NA
,
Couple with independent children only,NA
,
Couple with independent children only,NA
,
Couple with no children,HH1227601
Couple with no children,HH1227601
Couple with independent children only,HH1227701
Couple with independent children only,HH1227701
Couple with independent children only,HH1227701
Live alone,HH1227801
Couple with no children,HH1227901
Couple with no children,HH1227901
Other,HH1228001
Other,HH1228001
Live alone,HH1228101
Couple with no children,HH1228201
Couple with no children,HH1228201
Couple with dependent children,HH1228301
Couple with dependent children,HH1228301
Couple with dependent children,HH1228301
Couple with dependent children,HH1228301
Couple with dependent children,HH1228301
Couple with dependent children,NA
,
Couple with independent children only,HH1228401
Couple with independent children only,NA
,
Couple with independent children only,NA
,
Couple with dependent children,HH1228501
Couple with dependent children,HH1228501
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with dependent children,HH1228501
Live alone,HH1228601
Couple with independent children only,HH1228701
Couple with independent children only,HH1228701
Couple with dependent children,HH1228801
Couple with dependent children,HH1228801
Couple with dependent children,HH1228801
Couple with dependent children,NA
,
Couple with independent children only,HH1228901
Couple with independent children only,HH1228901
Couple with no children,HH61229001
Couple with no children,HH61229001
Couple with no children,HH1229101
Couple with no children,NA
,
Live alone,HH1229201
Couple with no children,HH1229301
Couple with no children,HH1229301
Couple with independent children only,HH61229401
Couple with independent children only,HH61229401
Lone parent with dependent children,HH1229501
Lone parent with dependent children,HH1229501
Lone parent with dependent children,HH1229501
Lone parent with dependent children,NA
,
Lone parent with dependent children,NA
,
Couple with independent children only,HH1229601
Couple with independent children only,HH1229601
Couple with independent children only,HH1229601
Couple with no children,HH1229701
Couple with no children,NA
,
Lone parent with dependent children,HH1229801
Lone parent with dependent children,HH1229801
Lone parent with dependent children,HH1229801
Lone parent with dependent children,HH1229801
Couple with dependent children,HH1229901
Couple with dependent children,NA
,
Couple with dependent children,HH1229901
Couple with dependent children,HH1230001
Couple with dependent children,NA
,
Couple with dependent children,HH1230001
Couple with independent children only,HH1230101
Couple with independent children only,NA
,
Live alone,HH1230201
Couple with dependent children,HH1230301
Couple with dependent children,NA
,
Couple with dependent children,HH1230301
Couple with dependent children,HH1230301
Couple with dependent children,HH1230301
Couple with independent children only,HH1230401
Couple with independent children only,NA
,
Couple with independent children only,NA
,
Couple with independent children only,HH1230501
Couple with independent children only,HH1230501
Live alone,HH1230601
Couple with independent children only,HH1230701
Couple with independent children only,HH1230701
Couple with independent children only,HH1230701
Other,HH1230801
Other,HH1230801
Couple with dependent children,HH1230901
Couple with dependent children,HH1230901
Couple with dependent children,HH1230901
Couple with dependent children,HH1230901
Couple with no children,HH1231001
Couple with no children,HH1231001
Couple with no children,HH1231001
Couple with no children,HH1231101
Couple with no children,NA
,
Couple with no children,HH1231201
Couple with no children,HH1231201
Couple with no children,NA
,
Couple with no children,HH1231301
Couple with no children,HH1231301
Couple with dependent children,HH1231401
Couple with dependent children,HH1231401
Couple with dependent children,HH1231401
Couple with no children,HH1231501
Couple with no children,HH1231501
Couple with independent children only,HH1231601
Couple with independent children only,NA
,
Couple with no children,HH1231701
Couple with no children,HH1231701
Live alone,HH1231801
Couple with independent children only,HH1231901
Couple with independent children only,HH1231901
Lone parent with dependent children,HH1232001
Lone parent with dependent children,NA
,
Lone parent with dependent children,HH1232001
Couple with no children,HH1232101
Couple with no children,HH1232101
Couple with no children,HH1232201
Couple with no children,NA
,
Two or more non-family adults,HH1232301
Two or more non-family adults,HH1232301
Other,HH1232401
Other,HH1232401
Other,HH1232401
Couple with no children,HH1232501
Couple with no children,HH1232501
Couple with no children,HH1232501
Other,HH1232601
Other,HH1232601
Lone parent with independent children only,HH1232701
Lone parent with independent children only,HH1232701
Lone parent with independent children only,HH1232701
Couple with no children,HH1232801
Couple with no children,NA
,
Couple with no children,HH1232801
Couple with dependent children,HH1232901
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Lone parent with independent children only,HH1233001
Lone parent with independent children only,HH1233001
Couple with no children,HH1233101
Couple with no children,HH1233101
Live alone,HH1233201
Live alone,HH1233301
Couple with independent children only,HH1233401
Couple with independent children only,NA
,
Couple with dependent children,HH1233501
Couple with dependent children,NA
,
Couple with dependent children,NA
,
Couple with independent children only,HH1233601
Couple with independent children only,HH1233601
Couple with dependent children,HH1233701
Couple with dependent children,HH1233701
Couple with dependent children,HH1233701
Lone parent with dependent children,HH1233801
Lone parent with dependent children,HH1233801
Couple with dependent children,HH1233901
Couple with dependent children,HH1233901
Couple with dependent children,HH1233901
Couple with dependent children,HH1233901
Couple with dependent children,HH1234001
Couple with dependent children,HH1234001
Couple with dependent children,HH1234001
Couple with dependent children,HH1234001
Live alone,HH1234101
Couple with independent children only,HH1234201
Couple with independent children only,HH1234201
Lone parent with dependent children,HH1234301
Lone parent with dependent children,HH1234301
Lone parent with dependent children,HH1234301
Lone parent with dependent children,HH1234301
Couple with independent children only,HH1234401
Couple with independent children only,HH1234401
Couple with independent children only,HH1234501
Couple with independent children only,NA
,
Couple with no children,HH1234601
Couple with no children,HH1234601
Live alone,HH1234701
Couple with no children,HH1234801
Couple with no children,HH1234801
Couple with no children,HH1234901
Couple with no children,HH1234901
Couple with no children,HH1234901
Lone parent with dependent children,HH1235001
Lone parent with dependent children,HH1235001
Lone parent with dependent children,NA
,
Lone parent with dependent children,HH1235001
Live alone,HH1235101
Couple with independent children only,HH1235201
Couple with independent children only,HH1235201
Live alone,HH1235301
Couple with independent children only,HH1235401
Couple with independent children only,HH1235401
Live alone,HH1235501
Couple with no children,HH1235601
Couple with no children,HH1235601
Other,HH1235701
Other,HH1235701
Couple with independent children only,HH1235801
Couple with independent children only,HH1235801
Couple with independent children only,NA
,
Couple with independent children only,NA
,
Couple with independent children only,HH1235901
Couple with independent children only,NA
,
Couple with independent children only,HH1235901
Couple with independent children only,HH1235901
Couple with independent children only,HH1236001
Couple with independent children only,HH1236001
Couple with independent children only,NA
,
Couple with independent children only,NA
,
Other,HH1236101
Other,HH1236101
Other,HH1236101
Other,HH1236101
Couple with no children,HH1236201
Couple with no children,HH1236201
Couple with no children,HH1236301
Couple with no children,HH1236301
Two or more non-family adults,HH1236401
Two or more non-family adults,NA
,
Couple with no children,HH1236501
Couple with no children,HH1236501
Couple with dependent children,HH1236601
Couple with dependent children,NA
,
Couple with dependent children,HH1236601
Couple with independent children only,HH1236701
Couple with independent children only,HH1236701
Couple with no children,HH1236801
Couple with no children,NA
,
Couple with dependent children,HH1236901
Couple with dependent children,HH1236901
Couple with dependent children,NA
,
Couple with dependent children,HH1236901
Couple with dependent children,HH1237001
Couple with dependent children,HH1237001
Couple with dependent children,HH1237001
Couple with dependent children,HH1237001
Couple with independent children only,HH1237101
Couple with independent children only,HH1237101
Couple with independent children only,HH1237101
Couple with dependent children,HH1237201
Couple with dependent children,HH1237201
Couple with dependent children,HH1237201
Couple with dependent children,HH1237201
Couple with no children,HH1237301
Couple with no children,NA
,
Couple with independent children only,HH1237401
Couple with independent children only,HH1237401
Couple with dependent children,HH1237501
Couple with dependent children,HH1237501
Couple with dependent children,HH1237501
Couple with dependent children,HH1237601
Couple with dependent children,HH1237601
Couple with dependent children,HH1237601
Couple with dependent children,HH1237601
Couple with no children,HH1237701
Couple with no children,NA
,
Couple with no children,HH1237801
Couple with no children,NA
,
Couple with no children,NA
,
Couple with independent children only,HH1237901
Couple with independent children only,HH1237901
Couple with independent children only,HH1237901
Couple with independent children only,HH1237901
Couple with no children,HH1238001
Couple with no children,HH1238001
Two or more non-family adults,HH1238101
Two or more non-family adults,HH1238101
Two or more non-family adults,HH1238101
Lone parent with dependent children,HH1238201
Lone parent with dependent children,NA
,
Couple with no children,HH1238301
Couple with no children,HH1238301
Couple with no children,HH1238401
Couple with no children,HH1238401
Couple with dependent children,HH1238501
Couple with dependent children,HH1238501
Couple with dependent children,HH1238501
Couple with dependent children,HH1238501
Lone parent with dependent children,HH1238601
Lone parent with dependent children,HH1238601
Lone parent with dependent children,NA
,
Lone parent with dependent children,HH1238601
Live alone,HH1238701
Couple with no children,HH1238801
Couple with no children,NA
,
Couple with no children,HH1238801
Couple with no children,HH1238901
Couple with no children,HH1238901
Couple with independent children only,HH1239001
Couple with independent children only,HH1239001
Couple with independent children only,HH1239001
Couple with independent children only,HH1239001
Couple with independent children only,HH1239001
Lone parent with independent children only,HH1239101
Lone parent with independent children only,HH1239101
Couple with independent children only,HH1239201
Couple with independent children only,HH1239201
Couple with no children,HH1239301
Couple with no children,HH1239301
Live alone,HH1239401
Couple with dependent children,HH1239501
Couple with dependent children,NA
,
Couple with dependent children,HH1239501
Couple with dependent children,HH1239501
Couple with independent children only,HH1239601
Couple with independent children only,HH1239601
Live alone,HH1239701
Couple with dependent children,HH1239801
Couple with dependent children,HH1239801
Couple with dependent children,HH1239801
Couple with dependent children,HH1239801
Couple with dependent children,HH1239801
Couple with dependent children,HH1239901
Couple with dependent children,HH1239901
Couple with dependent children,HH1239901
Couple with dependent children,HH1239901
Other,HH1240001
Other,HH1240001
Live alone,HH1240101
Couple with independent children only,HH1240201
Couple with independent children only,HH1240201
Couple with independent children only,HH1240201
Couple with independent children only,HH1240201
Couple with dependent children,HH1240301
Couple with dependent children,NA
,
Couple with dependent children,HH1240301
Couple with dependent children,HH1240301
Live alone,HH1240401
Couple with dependent children,HH1240501
Couple with dependent children,HH1240501
Couple with dependent children,HH1240501
Couple with dependent children,HH1240501
Lone parent with dependent children,HH1240601
Lone parent with dependent children,HH1240601
Lone parent with dependent children,HH1240601
Lone parent with dependent children,HH1240701
