"part_id","part_occupation_detail"
"H035/S02","unskilled labour"
"H036/S01","unskilled labour"
"H036/S02","unskilled agricultural"
"H036/S03","unskilled labour"
"H038/S01","unskilled labour"
"H038/S03","student"
"H038/S04","unskilled labour"
"H040/S01","unskilled labour"
"H040/S02","unskilled labour"
"H040/S03",NA
"H041/S01","unskilled labour"
"H041/S02","unskilled labour"
"H041/S03",NA
"H042/S01","unskilled labour"
"H043/S01","unskilled labour"
"H043/S02","unskilled labour"
"H043/S03",NA
"H044/S01","unskilled labour"
"H045/S01","unskilled labour"
"H045/S02","unskilled labour"
"H045/S03","unskilled labour"
"H045/S04","student"
"H046/S01","unskilled labour"
"H046/S02","unskilled agricultural"
"H046/S03","unskilled labour"
"H047/S01","unskilled labour"
"H047/S02","unskilled labour"
"H047/S03","student"
"H047/S04","student"
"H048/S01","unskilled labour"
"H048/S02","unskilled labour"
"H048/S03","student"
"H048/S04","student"
"H048/S05","student"
"H049/S01","unskilled labour"
"H049/S02","unskilled labour"
"H049/S03","unskilled labour"
"H049/S04","staff"
"H050/S01","unskilled labour"
"H050/S02","unskilled labour"
"H050/S03","unskilled labour"
"H050/S04","unskilled labour"
"H050/S05","unskilled labour"
"H050/S06","unskilled labour"
"H050/S07","student"
"H051/S01","unskilled labour"
"H051/S02","student"
"H051/S03","student"
"H052/S01","unskilled labour"
"H052/S02","unskilled labour"
"H052/S03","student"
"H052/S04","student"
"H053/S01","unskilled labour"
"H053/S02","unskilled labour"
"H053/S03","student"
"H053/S04","student"
"H053/S05","student"
"H054/S01","unskilled labour"
"H054/S02","unskilled labour"
"H054/S03","student"
"H054/S04","student"
"H055/S01","unskilled labour"
"H055/S02","unskilled labour"
"H055/S03","unskilled labour"
"H055/S04","student"
"H055/S05","student"
"H056/S01","unskilled labour"
"H057/S01","unskilled labour"
"H057/S02","unskilled agricultural"
"H057/S03","student"
"H058/S01","unskilled labour"
"H058/S02","unskilled labour"
"H058/S03","unskilled labour"
"H058/S04","unskilled labour"
"H058/S05","student"
"H059/S01","unskilled labour"
"H059/S02","unskilled agricultural"
"H059/S03","unskilled labour"
"H060/S01","unskilled labour"
"H060/S02","unskilled labour"
"H060/S03","unskilled labour"
"H060/S04","unskilled labour"
"H060/S05","unskilled labour"
"H060/S06","student"
"H060/S07",NA
"H060/S08","unskilled labour"
"H060/S09",NA
"H061/S01","unskilled labour"
"H061/S02","unskilled agricultural"
"H061/S03",NA
"H062/S01","unskilled labour"
"H062/S02","unskilled labour"
"H062/S03",NA
"H063/S01","unskilled labour"
"H063/S02","unskilled labour"
"H063/S03","student"
"H064/S01","unskilled labour"
"H064/S02","unskilled labour"
"H064/S03","student"
"H064/S04",NA
"H065/S01","unskilled labour"
"H065/S02","unskilled labour"
"H065/S03","student"
"H065/S04","student"
"H066/S01","unskilled labour"
"H066/S02","unskilled labour"
"H067/S01","unskilled labour"
"H067/S02","unskilled labour"
"H067/S03","student"
"H067/S04","student"
"H067/S05","student"
"H068/S01","unskilled labour"
"H068/S02","unskilled agricultural"
"H069/S01","unskilled labour"
"H069/S02","unskilled agricultural"
"H069/S03",NA
"H069/S04",NA
"H070/S01","unskilled labour"
"H070/S02","unskilled labour"
"H070/S03","unskilled labour"
"H070/S04","student"
"H070/S05","student"
"H071/S01","unskilled labour"
"H071/S02","student"
"H071/S03","student"
"H072/S01","unskilled labour"
"H072/S02","unskilled agricultural"
"H073/S01","unskilled labour"
"H073/S02","unskilled labour"
"H074/S01","unskilled labour"
"H074/S02","unskilled labour"
"H074/S03","unskilled labour"
"H074/S04","student"
"H075/S01","unskilled labour"
"H075/S02","student"
"H075/S03","student"
"H075/S04","student"
"H075/S05","unskilled labour"
"H075/S06","student"
"H076/S01","unskilled labour"
"H076/S02","unskilled agricultural"
"H076/S03","student"
"H077/S01","unskilled labour"
"H077/S02","unskilled labour"
"H077/S03","unskilled labour"
"H077/S04","student"
"H078/S01","unskilled labour"
"H078/S02","unskilled labour"
"H078/S03","unskilled labour"
"H078/S04","student"
"H078/S05","student"
"H079/S01","unskilled labour"
"H079/S02",NA
"H080/S01","unskilled agricultural"
"H080/S02","unskilled labour"
"H080/S03",NA
"H081/S01","unskilled labour"
"H081/S02","unskilled labour"
"H081/S03","student"
"H081/S04",NA
"H082/S01","unskilled labour"
"H082/S02","unskilled labour"
"H082/S03","student"
"H083/S01","unskilled agricultural"
"H083/S02","unskilled labour"
"H083/S03","student"
"H084/S01","unskilled labour"
"H084/S02","unskilled labour"
"H086/S02","unskilled labour"
"H087/S01","unskilled labour"
"H087/S02","unskilled agricultural"
"H087/S03","student"
"H087/S04","student"
"H087/S05",NA
"H088/S01","unskilled labour"
"H088/S02","unskilled labour"
"H089/S01","unskilled agricultural"
"H089/S02","unskilled agricultural"
"H089/S03","student"
"H089/S04","student"
"H090/S01","unskilled labour"
"H090/S02","unskilled agricultural"
"H090/S03","student"
"H090/S04","student"
"H091/S01","unskilled labour"
"H091/S02","unskilled labour"
"H091/S03","unskilled labour"
"H091/S04","unskilled labour"
"H091/S05","unskilled labour"
"H091/S06","student"
"H092/S01","unskilled labour"
"H092/S02","unskilled agricultural"
"H092/S03","unskilled labour"
"H092/S04",NA
"H092/S05","student"
"H093/S01","unskilled labour"
"H093/S02","unskilled labour"
"H093/S03","unskilled labour"
"H093/S04","student"
"H093/S05","student"
"H093/S06","student"
"H094/S01","unskilled labour"
"H094/S02","unskilled labour"
"H094/S03","student"
"H094/S04","student"
"H095/S01","unskilled labour"
"H095/S02","unskilled labour"
"H095/S03",NA
"H095/S04",NA
"H097/S01","unskilled labour"
"H097/S02","unskilled labour"
"H097/S03","unskilled labour"
"H097/S04","student"
"H098/S01","unskilled labour"
"H098/S02","unskilled labour"
"H098/S03","unskilled labour"
"H098/S04","student"
"H098/S05","student"
"H098/S06",NA
"H099/S01","unskilled labour"
"H099/S02","unskilled labour"
"H099/S03",NA
"H100/S01","unskilled labour"
"H100/S02","unskilled labour"
"H100/S03","unskilled labour"
"H100/S04","unskilled labour"
"H100/S05","student"
"H101/S01","unskilled labour"
"H101/S02","unskilled agricultural"
"H101/S03","student"
"H102/S01","leader"
"H102/S02","unskilled labour"
"H102/S03","staff"
"H102/S04","professional"
"H103/S01","unskilled labour"
"H103/S02","unskilled labour"
"H103/S03","unskilled labour"
"H104/S01","unskilled labour"
"H104/S02","student"
"H104/S03","student"
"H105/S01","unskilled labour"
"H105/S02","unskilled agricultural"
"H106/S01","unskilled labour"
"H107/S01","unskilled labour"
"H107/S02","unskilled labour"
"H107/S03","unskilled labour"
"H107/S04","unskilled labour"
"H107/S05","unskilled labour"
"H107/S06","student"
"H107/S07","student"
"H107/S08","student"
"H108/S01","unskilled labour"
"H108/S02","student"
"H108/S03","student"
"H109/S01","unskilled labour"
"H109/S02","student"
"H109/S03",NA
"H110/S01","unskilled labour"
"H110/S02","unskilled labour"
"H110/S03","student"
"H110/S04","student"
"H110/S05","student"
"H111/S01","unskilled labour"
"H111/S02","unskilled labour"
"H111/S03","student"
"H111/S04",NA
"H111/S05",NA
"H112/S01","unskilled agricultural"
"H112/S02","unskilled agricultural"
"H113/S01","unskilled labour"
"H114/S01","unskilled agricultural"
"H114/S02","unskilled agricultural"
"H114/S03",NA
"H114/S04",NA
"H116/S01","unskilled labour"
"H116/S02","unskilled agricultural"
"H116/S03",NA
"H117/S01","unskilled labour"
"H117/S02","unskilled labour"
"H117/S03",NA
"H119/S01","unskilled agricultural"
"H119/S02","unskilled agricultural"
"H119/S04","unskilled agricultural"
"H119/S05",NA
"H123/S01","unskilled labour"
"H123/S02","unskilled labour"
"H123/S03",NA
"H125/S01","unskilled agricultural"
"H125/S02","unskilled agricultural"
"H127/S01","unskilled labour"
"H127/S02","unskilled agricultural"
"H127/S03",NA
"H127/S04",NA
"H130/S02","unskilled labour"
"H131/S01","unskilled labour"
"H131/S02","unskilled labour"
"H131/S03",NA
"H131/S04",NA
"H132/S01","unskilled agricultural"
"H132/S02",NA
"H132/S03",NA
"H132/S04",NA
"H132/S05",NA
"H133/S01","unskilled labour"
"H133/S02","unskilled labour"
"H133/S03","student"
"H133/S04","student"
"H134/S01","unskilled labour"
"H134/S02","unskilled labour"
"H134/S03","student"
"H134/S04","student"
"H136/S01","unskilled labour"
"H136/S02","unskilled labour"
"H136/S03","unskilled labour"
"H136/S04",NA
"H137/S01","unskilled agricultural"
"H137/S02","unskilled labour"
"H137/S03",NA
"H137/S04",NA
"H138/S02","unskilled agricultural"
"H138/S03","student"
"H138/S04",NA
"H139/S01","unskilled agricultural"
"H139/S02","unskilled agricultural"
"H139/S03","unskilled labour"
"H140/S01","unskilled labour"
"H140/S02",NA
"H140/S03",NA
"H141/S01","unskilled agricultural"
"H141/S02",NA
"H141/S03",NA
"H142/S01","unskilled labour"
"H142/S02",NA
"H142/S03",NA
"H142/S04","student"
"H143/S02","unskilled agricultural"
"H144/S01","unskilled agricultural"
"H144/S02",NA
"H144/S03",NA
"H145/S01","unskilled labour"
"H145/S02","staff"
"H145/S03","student"
"H145/S04",NA
"H146/S01","private services"
"H146/S02","unskilled agricultural"
"H146/S03",NA
"H147/S01","staff"
"H147/S02","unskilled agricultural"
"H147/S03","unskilled labour"
"H148/S01","unskilled agricultural"
"H148/S02","unskilled agricultural"
"H148/S03","student"
"H148/S04",NA
"H149/S01","unskilled agricultural"
"H149/S02","unskilled agricultural"
"H149/S03","unskilled labour"
"H149/S04","trained craftsman"
"H149/S05","student"
"H150/S01","unskilled agricultural"
"H150/S02","staff"
"H150/S03","student"
"H150/S04","student"
"H151/S01","unskilled agricultural"
"H151/S02","staff"
"H151/S03","student"
"H151/S04",NA
"H152/S01","unskilled agricultural"
"H152/S02","unskilled agricultural"
"H152/S03","unskilled agricultural"
"H153/S01","unskilled labour"
"H153/S02","unskilled agricultural"
"H153/S03",NA
"H154/S01","unskilled labour"
"H154/S02","unskilled agricultural"
"H155/S01","unskilled agricultural"
"H155/S02","unskilled agricultural"
"H156/S01","unskilled agricultural"
"H156/S02","unskilled agricultural"
"H157/S01","unskilled agricultural"
"H158/S01","unskilled agricultural"
"H158/S02","unskilled agricultural"
"H158/S03","student"
"H158/S04",NA
"H159/S01","private services"
"H159/S02","private services"
"H160/S01","unskilled agricultural"
"H160/S02","unskilled labour"
"H160/S03","unskilled labour"
"H161/S01","unskilled agricultural"
"H161/S02","unskilled labour"
"H161/S03",NA
"H162/S01","unskilled agricultural"
"H163/S01","unskilled agricultural"
"H163/S02","student"
"H164/S01","unskilled agricultural"
"H165/S01","private services"
"H165/S02","private services"
"H165/S03","student"
"H165/S04","student"
"H165/S05",NA
"H166/S01","unskilled agricultural"
"H166/S02","unskilled agricultural"
"H167/S02","unskilled agricultural"
"H167/S03",NA
"H167/S04",NA
"H168/S01","unskilled agricultural"
"H168/S02","leader"
"H169/S01","staff"
"H169/S02","private services"
"H169/S03","student"
"H169/S04","unskilled labour"
"H169/S05","unskilled agricultural"
"H169/S06",NA
"H170/S01","unskilled agricultural"
"H171/S01","unskilled agricultural"
"H171/S02","unskilled agricultural"
"H171/S03",NA
"H172/S01","leader"
"H173/S02","unskilled agricultural"
"H173/S03","unskilled labour"
"H173/S04","unskilled agricultural"
"H173/S05",NA
"H174/S01","unskilled labour"
"H174/S02","unskilled agricultural"
"H175/S01","unskilled agricultural"
"H177/S01","unskilled agricultural"
"H177/S02","unskilled agricultural"
"H178/S01","unskilled agricultural"
"H179/S01","unskilled agricultural"
"H179/S02","staff"
"H179/S03","student"
"H180/S01","unskilled agricultural"
"H180/S02","unskilled labour"
"H181/S01","private services"
"H182/S01","unskilled agricultural"
"H182/S02","unskilled agricultural"
"H182/S03","unskilled labour"
"H182/S04","unskilled labour"
"H183/S01","unskilled agricultural"
"H183/S02","unskilled agricultural"
"H184/S01","staff"
"H184/S02","unskilled agricultural"
"H184/S03","professional"
"H185/S01","unskilled agricultural"
"H186/S01","unskilled labour"
"H186/S02","unskilled agricultural"
"H186/S03","unskilled agricultural"
"H186/S04","student"
"H186/S05","student"
"H187/S01","unskilled agricultural"
"H187/S02","private services"
"H188/S01","unskilled agricultural"
"H188/S02","unskilled agricultural"
"H188/S03",NA
"H191/S01","unemployed"
"H191/S02",NA
"H192/S01","unskilled agricultural"
"H192/S02","unskilled agricultural"
"H192/S03","unskilled agricultural"
"H192/S04","trained craftsman"
"H192/S05","professional"
"H193/S01","unskilled agricultural"
"H193/S02","student"
"H193/S03","student"
"H194/S01","staff"
"H194/S02","unskilled agricultural"
"H194/S03","student"
"H194/S04","unskilled agricultural"
"H194/S05","student"
"H196/S01","professional"
"H196/S02","staff"
"H196/S03",NA
"H196/S04",NA
"H197/S01",NA
"H197/S02","unskilled agricultural"
"H197/S03","unskilled labour"
"H198/S01","unskilled agricultural"
"H198/S02","unskilled agricultural"
"H198/S03",NA
"H198/S04",NA
"H199/S01","unskilled agricultural"
"H201/S01","unskilled agricultural"
"H201/S02","student"
"H202/S01","unskilled labour"
"H202/S02","unskilled agricultural"
"H202/S03","student"
"H202/S04",NA
"H202/S05",NA
"H204/S01",NA
"H204/S02","staff"
"H204/S03",NA
"H204/S04",NA
"H205/S01","unskilled agricultural"
"H205/S02","unskilled agricultural"
"H205/S03","student"
"H205/S04","student"
"H206/S01","unskilled agricultural"
"H206/S02","unskilled agricultural"
"H206/S03",NA
"H207/S01","unskilled agricultural"
"H207/S02","unskilled labour"
"H207/S03","unskilled labour"
"H207/S04","unskilled labour"
"H207/S05","student"
"H208/S01","unskilled agricultural"
"H208/S02","mechanic"
"H208/S03","student"
"H208/S04",NA
"H209/S01","unskilled agricultural"
"H209/S02","unskilled agricultural"
"H210/S01",NA
"H210/S02","unskilled agricultural"
"H210/S03",NA
"H210/S04",NA
"H210/S05",NA
"H211/S01","unemployed"
"H211/S02","unemployed"
"H211/S03","unskilled labour"
"H211/S04",NA
"H211/S05",NA
"H212/S01","unskilled agricultural"
"H212/S02","unskilled agricultural"
"H212/S03","student"
"H212/S04","student"
"H213/S01","unskilled agricultural"
"H213/S02","student"
"H215/S01","unskilled agricultural"
"H215/S02","student"
"H215/S03","unskilled agricultural"
"H216/S01",NA
"H216/S02","unskilled agricultural"
"H216/S03","unskilled agricultural"
"H216/S04","staff"
"H216/S05","student"
"H216/S06","student"
"H217/S01","unskilled agricultural"
"H217/S02","unskilled agricultural"
"H217/S03","unskilled agricultural"
"H217/S04","unskilled labour"
"H217/S05","student"
"H217/S06","student"
"H219/S01","unskilled agricultural"
"H219/S02","unskilled agricultural"
"H220/S01","unskilled agricultural"
"H220/S02","unskilled agricultural"
"H220/S03",NA
"H221/S01","unskilled agricultural"
"H221/S02",NA
"H223/S01","unskilled agricultural"
"H224/S01","unskilled agricultural"
"H224/S02","unskilled agricultural"
"H224/S03","unskilled agricultural"
"H225/S01","unskilled agricultural"
"H225/S02","unskilled agricultural"
"H225/S03","student"
"H225/S04","student"
"H225/S05","student"
"H228/S01","unskilled agricultural"
"H228/S02","unskilled agricultural"
"H228/S03","student"
"H228/S04","student"
"H229/S01","student"
"H229/S02","unskilled agricultural"
"H229/S03",NA
"H231/S01","leader"
"H231/S02",NA
"H231/S03",NA
"H231/S04","leader"
"H231/S05","student"
"H233/S01","unskilled agricultural"
"H233/S02","unskilled agricultural"
"H233/S03","student"
"H234/S01","unemployed"
"H234/S02","unskilled agricultural"
"H235/S01","unskilled agricultural"
"H235/S02","trained craftsman"
"H235/S03","trained craftsman"
"H235/S04","student"
"H236/S01","unskilled agricultural"
"H236/S02","unskilled agricultural"
"H236/S03","student"
"H236/S04",NA
"H238/S01","unskilled agricultural"
"H238/S02","unskilled agricultural"
"H238/S03","unskilled agricultural"
"H238/S04","unskilled agricultural"
"H238/S05",NA
"H238/S06",NA
"H239/S01","unskilled agricultural"
"H239/S02","unskilled agricultural"
"H240/S01","unskilled agricultural"
"H240/S02","unskilled agricultural"
"H240/S03","unskilled agricultural"
"H240/S04","student"
"H240/S05","student"
"H241/S01","unskilled agricultural"
"H241/S02","unskilled agricultural"
"H241/S03","student"
"H241/S04","student"
"H242/S01","private services"
"H242/S02","unskilled agricultural"
"H243/S01","unskilled agricultural"
"H243/S02","unskilled agricultural"
"H244/S01",NA
"H245/S01",NA
"H246/S01","leader"
"H246/S02","unskilled agricultural"
"H246/S03",NA
"H247/S01","unskilled agricultural"
"H247/S02","unskilled labour"
"H248/S01","unskilled agricultural"
"H248/S02","unskilled agricultural"
"H248/S03","student"
"H250/S01","unskilled agricultural"
"H250/S02","unskilled agricultural"
"H250/S03","unskilled labour"
"H250/S04","unskilled labour"
"H250/S05","staff"
"H251/S01","unskilled agricultural"
"H251/S02","unskilled agricultural"
"H252/S01","unskilled labour"
"H252/S02","unskilled labour"
"H252/S03","student"
"H252/S04","student"
"H252/S05",NA
"H253/S01",NA
"H253/S02",NA
"H255/S01","unskilled agricultural"
"H255/S02","unskilled agricultural"
"H256/S01","unskilled agricultural"
"H256/S02","unskilled agricultural"
"H256/S03","unskilled agricultural"
"H256/S04",NA
"H257/S01","unskilled agricultural"
"H257/S02","unskilled agricultural"
"H257/S03","student"
"H257/S04","student"
"H257/S05","student"
"H259/S01","unskilled agricultural"
"H259/S02","unskilled agricultural"
"H259/S03","student"
"H259/S04","student"
"H259/S05","student"
"H262/S01","unskilled agricultural"
"H263/S01","unskilled agricultural"
"H264/S01","unskilled agricultural"
"H264/S02","unskilled agricultural"
"H264/S03","student"
"H264/S04",NA
"H264/S05",NA
"H265/S01","unskilled agricultural"
"H265/S02","unskilled agricultural"
"H266/S01","unskilled agricultural"
"H266/S02","unskilled agricultural"
"H267/S01","unskilled agricultural"
"H269/S01","staff"
"H269/S02","unskilled agricultural"
"H269/S03","student"
"H273/S01","unskilled agricultural"
"H273/S02","unskilled agricultural"
"H273/S03","unskilled labour"
"H273/S04","unskilled agricultural"
"H273/S05","student"
"H275/S01","unskilled agricultural"
"H275/S02","unskilled agricultural"
"H275/S03","unskilled agricultural"
"H276/S01","unskilled agricultural"
"H276/S02","unskilled agricultural"
"H276/S03","unskilled labour"
"H278/S01","unskilled labour"
"H278/S02","unskilled labour"
"H278/S03","student"
"H280/S01","unskilled labour"
"H280/S02","unskilled labour"
"H280/S03","unskilled labour"
"H282/S01","unskilled labour"
"H282/S02","student"
"H282/S03","student"
"H283/S01","unskilled agricultural"
"H283/S02","unskilled agricultural"
"H283/S03","student"
"H283/S04","student"
"H284/S01",NA
"H284/S02","student"
"H284/S03","student"
"H285/S01","unskilled agricultural"
"H286/S01","unskilled agricultural"
"H286/S02","unskilled agricultural"
"H286/S03",NA
"H287/S01","unskilled agricultural"
"H288/S01","unemployed"
"H289/S01","unskilled agricultural"
"H289/S02","unskilled agricultural"
"H289/S03","unskilled agricultural"
"H289/S04","student"
"H289/S05",NA
"H289/S06",NA
"H292/S01","unskilled labour"
"H292/S02","unskilled labour"
"H292/S03","unskilled labour"
"H292/S04","unskilled labour"
"H292/S05","unskilled labour"
"H292/S06",NA
"H293/S01","unskilled agricultural"
"H293/S02",NA
"H293/S03","student"
"H294/S01","private services"
"H294/S02","private services"
"H294/S03","student"
"H295/S01",NA
"H295/S02",NA
"H295/S03",NA
"H296/S01","unskilled labour"
"H296/S02","unskilled agricultural"
"H296/S03","student"
"H296/S04","student"
"H298/S01",NA
"H299/S01","unskilled agricultural"
"H299/S02","unskilled agricultural"
"H299/S03","student"
"H299/S04",NA
"H300/S01","unskilled agricultural"
"H301/S01",NA
"H302/S01","unskilled agricultural"
"H305/S01","trained craftsman"
"H305/S02","unskilled agricultural"
"H306/S01","leader"
"H306/S02",NA
"H306/S03","student"
"H309/S01","unskilled agricultural"
"H309/S02","staff"
"H310/S01",NA
"H311/S01","unskilled labour"
"H311/S02","unskilled labour"
"H311/S03","unskilled labour"
"H311/S04","student"
"H311/S05","student"
"H312/S01","unskilled labour"
"H312/S02","unskilled labour"
"H312/S03","unskilled labour"
"H312/S04","unskilled labour"
"H314/S01","unskilled agricultural"
"H314/S02","unskilled agricultural"
"H314/S03","unskilled labour"
"H316/S01","unskilled labour"
"H316/S02","unskilled labour"
"H316/S03","unskilled labour"
"H318/S01","unskilled labour"
"H318/S02","unskilled labour"
"H318/S03","unskilled labour"
"H319/S01","unskilled labour"
"H319/S02","unskilled labour"
"H319/S03","unskilled labour"
"H319/S04","unskilled labour"
"H320/S01","unskilled labour"
"H320/S02","unskilled labour"
"H320/S03","student"
"H320/S04",NA
"H321/S01","unskilled agricultural"
"H321/S02","student"
"H321/S03",NA
"H325/S01","unskilled agricultural"
"H325/S02","unskilled agricultural"
